"location","Keyword","Currency","Avg. monthly searches","Three month change","YoY change","Competition","Competition (indexed value)","Top of page bid (low range)","Top of page bid (high range)","Ad impression share","Organic impression share","Organic average position","In account?","In plan?","Searches: Jun 2019","Searches: Jul 2019","Searches: Aug 2019","Searches: Sep 2019","Searches: Oct 2019","Searches: Nov 2019","Searches: Dec 2019","Searches: Jan 2020","Searches: Feb 2020","Searches: Mar 2020","Searches: Apr 2020","Searches: May 2020","Searches: Jun 2020","Searches: Jul 2020","Searches: Aug 2020","Searches: Sep 2020","Searches: Oct 2020","Searches: Nov 2020","Searches: Dec 2020","Searches: Jan 2021","Searches: Feb 2021","Searches: Mar 2021","Searches: Apr 2021","Searches: May 2021","Searches: Jun 2021","Searches: Jul 2021","Searches: Aug 2021","Searches: Sep 2021","Searches: Oct 2021","Searches: Nov 2021","Searches: Dec 2021","Searches: Jan 2022","Searches: Feb 2022","Searches: Mar 2022","Searches: Apr 2022","Searches: May 2022","Searches: Jun 2022","Searches: Jul 2022","Searches: Aug 2022","Searches: Sep 2022","Searches: Oct 2022","Searches: Nov 2022","Searches: Dec 2022","Searches: Jan 2023","Searches: Feb 2023","Searches: Mar 2023","Searches: Apr 2023","Searches: May 2023"
"Victoria Australia","traeger","USD","500","0%","0%","High","94","0.15","0.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","pitboss","USD","500","0%","0%","Medium","63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","z grill","USD","500","0%","0%","High","69","1.28","4.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","campchef","USD","500","0%","0%","High","96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","weber","USD","5000","0%","0%","High","100","0.21","1.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","bbq","USD","50000","0%","900%","High","100","0.16","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","bbq galore","USD","50000","0%","0%","High","98","0.38","0.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","smoker","USD","5000","0%","0%","High","100","0.16","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","electric smoker","USD","500","0%","0%","High","100","0.19","0.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","pellet smoker","USD","5000","0%","900%","High","100","0.27","0.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","pellet grill","USD","500","900%","900%","High","100","0.29","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","traeger","USD","5000","0%","0%","High","93","0.14","0.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","pitboss","USD","500","0%","0%","High","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","z grill","USD","500","0%","0%","Medium","61","1.67","5.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","campchef","USD","500","0%","0%","High","100","0.10","0.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","weber","USD","5000","0%","0%","High","100","0.22","1.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","bbq","USD","50000","0%","0%","High","100","0.16","0.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","bbq galore","USD","50000","0%","0%","High","99","0.39","0.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","smoker","USD","5000","0%","0%","High","100","0.16","0.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","electric smoker","USD","500","0%","0%","High","100","0.19","0.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","pellet smoker","USD","5000","0%","0%","High","100","0.28","0.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","pellet grill","USD","500","0%","0%","High","100","0.32","1.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","traeger","USD","500","0%","0%","High","94","0.15","0.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","pitboss","USD","500","0%","0%","Medium","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","z grill","USD","500","0%","0%","High","69","1.55","4.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","campchef","USD","500","0%","0%","High","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","weber","USD","5000","0%","0%","High","100","0.17","0.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","bbq","USD","5000","0%","0%","High","100","0.16","0.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","bbq galore","USD","50000","0%","0%","High","97","0.40","0.90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","smoker","USD","5000","0%","0%","High","100","0.15","0.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","electric smoker","USD","500","0%","0%","High","100","0.17","0.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","pellet smoker","USD","5000","0%","0%","High","100","0.23","0.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","pellet grill","USD","500","0%","0%","High","100","0.33","0.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","traeger","USD","500","0%","0%","High","89","0.15","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","pitboss","USD","500","0%","0%","Medium","62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","z grill","USD","50","0%","0%","Medium","56","1.57","4.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","campchef","USD","50","0%","0%","High","97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","weber","USD","5000","0%","0%","High","100","0.14","0.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","bbq","USD","5000","0%","0%","High","99","0.16","0.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","bbq galore","USD","50000","0%","0%","High","88","0.41","0.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","smoker","USD","500","0%","0%","High","100","0.15","0.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","electric smoker","USD","500","0%","0%","High","100","0.16","0.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","pellet smoker","USD","500","0%","0%","High","100","0.24","0.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","pellet grill","USD","50","0%","0%","High","100","0.30","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","traeger","USD","50","0%","0%","High","89","0.10","0.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","pitboss","USD","50","0%","0%","Medium","62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","z grill","USD","50","0%","0%","High","88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","campchef","USD","50","0%","0%","High","79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","weber","USD","500","0%","-90%","High","99","0.16","1.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","bbq","USD","500","0%","0%","High","100","0.17","0.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","bbq galore","USD","500","0%","0%","High","81","0.52","1.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","smoker","USD","50","0%","0%","High","100","0.15","1.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","electric smoker","USD","50","0%","0%","High","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","pellet smoker","USD","50","0%","0%","High","100","0.17","0.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","pellet grill","USD","50","0%","0%","High","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","traeger","USD","50","0%","0%","High","89","0.15","0.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","pitboss","USD","50","0%","0%","Medium","63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","z grill","USD","50","0%","0%","Medium","56","1.16","4.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","campchef","USD","50","0%","0%","High","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","weber","USD","500","0%","0%","High","99","0.14","0.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","bbq","USD","500","0%","0%","High","100","0.15","0.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","bbq galore","USD","5000","-90%","-90%","High","79","0.48","1.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","smoker","USD","500","0%","0%","High","100","0.16","0.70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","electric smoker","USD","50","0%","0%","High","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","pellet smoker","USD","50","900%","900%","High","100","0.22","0.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","pellet grill","USD","50","0%","0%","High","92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","traeger","USD","500","0%","0%","High","88","0.12","0.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","pitboss","USD","500","0%","0%","Medium","52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","z grill","USD","50","0%","0%","Medium","47","1.28","4.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","campchef","USD","50","0%","0%","High","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","weber","USD","5000","0%","0%","High","100","0.15","0.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","bbq","USD","5000","0%","0%","High","100","0.16","0.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","bbq galore","USD","5000","0%","0%","High","88","0.41","0.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","smoker","USD","500","0%","0%","High","100","0.15","0.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","electric smoker","USD","50","-90%","0%","High","100","0.19","2.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","pellet smoker","USD","500","0%","0%","High","100","0.22","0.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","pellet grill","USD","50","0%","0%","High","95","0.33","0.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","traeger","USD","500","0%","0%","High","88","0.16","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","pitboss","USD","500","0%","0%","Medium","56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","z grill","USD","50","0%","0%","Medium","52","1.57","5.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","campchef","USD","50","0%","0%","High","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","weber","USD","5000","0%","0%","High","100","0.13","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","bbq","USD","5000","0%","0%","High","98","0.16","0.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","bbq galore","USD","5000","0%","0%","High","88","0.37","0.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","smoker","USD","500","0%","0%","High","100","0.15","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","electric smoker","USD","500","0%","0%","High","100","0.15","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","pellet smoker","USD","500","0%","0%","High","100","0.20","0.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","pellet grill","USD","50","0%","0%","High","100","0.33","0.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","traeger","USD","50","0%","0%","High","98","0.18","0.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","pitboss","USD","50","0%","0%","Medium","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","z grill","USD","50","0%","0%","High","78","1.54","8.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","campchef","USD","50","""","""","High","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","weber","USD","500","-90%","-90%","High","100","0.13","0.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","bbq","USD","500","0%","0%","High","100","0.13","0.40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","bbq galore","USD","500","0%","0%","High","68","0.41","0.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","smoker","USD","50","0%","0%","High","100","0.16","0.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","electric smoker","USD","50","0%","0%","High","87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","pellet smoker","USD","50","0%","0%","High","100","0.23","0.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","pellet grill","USD","50","0%","""","High","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","traeger","USD","5000","0%","0%","High","93","0.15","0.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","pitboss","USD","5000","0%","0%","Medium","62","0.35","1.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","z grill","USD","5000","0%","900%","Medium","64","1.43","4.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","campchef","USD","500","0%","0%","High","100","0.08","0.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","weber","USD","50000","0%","0%","High","100","0.18","0.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","bbq","USD","50000","0%","0%","High","100","0.16","0.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","bbq galore","USD","500000","0%","0%","High","97","0.39","0.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
